,precision,recall,fbeta
education=Some-college,0.6039603960396039,0.20819112627986347,0.3096446700507614
education=Masters,0.8194444444444444,0.3224043715846995,0.46274509803921576
education=Bachelors,0.8827586206896552,0.29906542056074764,0.4467713787085515
education=7th-8th,0.2,0.1,0.13333333333333333
education=HS-grad,0.5116279069767442,0.19939577039274925,0.28695652173913044
education=10th,0.4,0.2,0.26666666666666666
education=11th,0.6666666666666666,0.375,0.4800000000000001
education=Assoc-voc,0.7096774193548387,0.2894736842105263,0.4112149532710281
education=5th-6th,0.5,1.0,0.6666666666666666
education=12th,1.0,0.42857142857142855,0.6
education=9th,0.3333333333333333,0.3333333333333333,0.3333333333333333
education=Prof-school,0.9534883720930233,0.43157894736842106,0.5942028985507247
education=Assoc-acdm,0.75,0.23076923076923078,0.3529411764705882
education=Doctorate,0.9411764705882353,0.2909090909090909,0.44444444444444453
education=1st-4th,0.5,0.3333333333333333,0.4
education=Preschool,0.0,1.0,0.0
