,precision,recall,fbeta
native-country=United-States,0.7247706422018348,0.27583798882681565,0.3995953464845726
native-country=Japan,1.0,0.16666666666666666,0.2857142857142857
native-country=Dominican-Republic,1.0,1.0,1.0
native-country=Portugal,1.0,1.0,1.0
native-country=Canada,0.6,0.2727272727272727,0.37499999999999994
native-country=El-Salvador,1.0,1.0,1.0
native-country=Italy,0.5,0.2222222222222222,0.30769230769230765
native-country=Mexico,0.2,0.2,0.20000000000000004
native-country=Germany,0.6666666666666666,0.2222222222222222,0.3333333333333333
native-country=France,1.0,1.0,1.0
native-country=Vietnam,0.0,1.0,0.0
native-country=Puerto-Rico,1.0,0.0,0.0
native-country=South,1.0,0.5,0.6666666666666666
native-country=Philippines,1.0,0.0,0.0
native-country=Ecuador,1.0,0.0,0.0
native-country=China,1.0,0.25,0.4
native-country=Nicaragua,1.0,0.0,0.0
native-country=Scotland,1.0,0.0,0.0
native-country=Yugoslavia,1.0,0.0,0.0
native-country=India,1.0,0.2857142857142857,0.4444444444444445
native-country=Iran,1.0,0.25,0.4
native-country=Peru,1.0,0.0,0.0
native-country=Poland,1.0,0.5,0.6666666666666666
native-country=England,1.0,0.125,0.2222222222222222
native-country=Jamaica,1.0,0.0,0.0
native-country=Haiti,1.0,0.0,0.0
native-country=Taiwan,1.0,0.0,0.0
native-country=Ireland,1.0,0.0,0.0
native-country=Cuba,1.0,0.25,0.4
native-country=Hong,1.0,0.0,0.0
native-country=Cambodia,0.0,0.0,0.0
native-country=Columbia,1.0,1.0,1.0
native-country=Guatemala,1.0,1.0,1.0
native-country=Laos,1.0,0.0,0.0
native-country=Trinadad&Tobago,1.0,1.0,1.0
native-country=Greece,1.0,0.5,0.6666666666666666
native-country=Thailand,1.0,1.0,1.0
native-country=Outlying-US(Guam-USVI-etc),1.0,1.0,1.0
native-country=Holand-Netherlands,0.0,1.0,0.0
