,precision,recall,fbeta
occupation=Craft-repair,0.6122448979591837,0.18292682926829268,0.28169014084507044
occupation=Prof-specialty,0.8601398601398601,0.31865284974093266,0.4650283553875236
occupation=Sales,0.8064516129032258,0.26737967914438504,0.4016064257028113
occupation=Exec-managerial,0.9142857142857143,0.32,0.47407407407407415
occupation=Machine-op-inspct,0.5,0.18,0.2647058823529412
occupation=Tech-support,0.6,0.13043478260869565,0.21428571428571427
occupation=Transport-moving,0.6,0.18181818181818182,0.27906976744186046
occupation=Other-service,0.3,0.25,0.2727272727272727
occupation=Adm-clerical,0.47619047619047616,0.2564102564102564,0.3333333333333333
occupation=Handlers-cleaners,0.4,0.21052631578947367,0.27586206896551724
occupation=Farming-fishing,0.5,0.25,0.3333333333333333
occupation=Protective-serv,0.46153846153846156,0.15384615384615385,0.23076923076923075
occupation=Priv-house-serv,1.0,1.0,1.0
occupation=Armed-Forces,1.0,1.0,1.0
